month,no_of_rainy_days,total_rainfall,mean_rh,year
2,5,31.6,74.1,2019
3,6,72.2,72.3,2019
4,9,174.8,77.6,2019
5,13,69.0,79.2,2019
6,16,173.8,79.5,2019
7,8,12.2,75.2,2019
8,6,11.8,72.1,2019
9,4,22.8,73.0,2019
10,15,176.8,78.1,2019
11,15,137.4,79.2,2019
12,14,421.5,83.9,2019
1,6,88.4,77.9,2020
2,8,65.0,76.0,2020
3,8,108.8,75.2,2020
4,12,188.0,76.4,2020
5,16,255.6,79.1,2020
6,21,233.8,80.2,2020
7,22,140.8,78.2,2020
8,12,103.4,76.8,2020
9,18,150.2,79.0,2020
10,16,78.8,75.4,2020
11,19,220.6,81.7,2020
12,20,253.2,81.1,2020
1,17,692.8,82.6,2021
2,2,1.0,73.8,2021
3,14,182.4,76.6,2021
4,14,290.4,77.4,2021
5,13,245.8,79.3,2021
6,20,93.4,77.8,2021
7,12,195.8,76.5,2021
8,24,293.6,80.4,2021
9,14,205.4,77.3,2021
10,14,177.0,78.3,2021
11,23,312.4,81.7,2021
12,15,119.6,79.7,2021
1,9,99.8,77.4,2022
2,16,175.0,80.3,2022
3,21,163.2,79.2,2022
4,18,239.6,80.0,2022
5,12,102.0,76.5,2022
6,17,211.8,79.1,2022
7,16,145.2,76.8,2022
8,15,141.4,77.4,2022
9,14,121.0,76.9,2022
10,27,280.0,78.7,2022
11,26,313.8,79.9,2022
